,comments
556,We drop by Castlery to check out some furniture. And end up getting the whole set. Everything was so nice. Staff was friendly and efficient. Sales person Samira attended to us and she was very patient and help us with our purchase. Will definitely come back for more shopping! Thank you castelery for the amazing experience!
557,"Had a leisurely shopping experience and once we had shortlisted Miki did the convincing, the purchase was seamless."
558,"Great experience! Really cool showroom and set up.

Staff is really friendly and helpful throughout the entire visit"
559,Very nice and cozy studio for furniture shopping. Amazing quality and selection. Staffs are friendly too! I definitely recommend coming down to the studio rather than just buying online.
560,Pleasant service staff that are very helpful and patient in their explanations and recommendations. Furnitures are good quality and set at reasonable price points too.
561,"Was here to look for sofa.. met the sales personnel, nice and friendly, given us great help on how we should choose and how to manage the delivery. Overall a great experience at Castlery."
562,We were served by Ivy and are very please with her service quality. The sofa we have purchased is also of very good quality. Thumbs up!
563,"Great showroom, polite and experienced sales staff, extremely helpful. Highly recommended."
564,"Showroom is super pretty with great service. The Todd sofa was a perfect fit for our house. You may mix and match the configuration, fabric and colour."
565,"I like the designs wor. If you like rustic theme, can come here wor."
566,Absolutely beautiful furniture. Cosy and stylish showroom. Samirah the relationship manager is polite and very helpful. AAA experience.
567,Experience has been excellent at the studio and left with a brand new Adams sofa set for delivery next week.
568,"Super hassle free experience! Loved the showroom, Shaun and Nikki were super helpful as we were choosing our furniture. Come visit to see the items in real life!"
569,The experience was good. The customer service officer assist me in getting the sofa that i am looking for and she is very efficient and good.
570,"Bought a bed frame, a book shelf, a set of dining chairs, and 2 bar stools, all great quality products, and service is top notch.  Thanks"
571,Very friendly and helpful kind assistance rendered by staff Anson.
572,Hello Castlery team! Thank you so much Ivy for efficient and wonderful service! Products are superb and well displayed. Really happy with the experience. :)
573,Had a great experience buying furnitures from Castlery. The team helped me make smart decisions with thoroughness in approach and fantastic service. Thank you Castlery.
574,Hats off for the exemplary service! Very welcoming and knowledgeable staff. Helped me with my interior design plans too; Definitely beyond my expectations. Castlery did set the bar!
575,"Not a big space but the modern, well designed furniture are nicely displayed. Air conditioned arear. Pleasant visit lasting 30 minutes or so. Friendly staff"
576,Got good deal on black Friday!!! Friendly and helpful staff.
577,"Amazing selection of modern looking furniture, coupled with excellent customer service"
578,"Quality & value for money products. Contemporary & modern designs. Their staffs, like Din was well versed & very attentive towards customers.Kudos to Din & Castlery!!"
579,Great collection and high quality furniture. The staff is very helpful. Highly recommend.
580,The selection of furniture on discount is much better than I thought. I am so happy with my buys.
581,"Friendly staffs, good service."
582,Beautiful and diverse furniture pieces that are contemporary and functional. Staff here are friendly and helpful as well! Will definitely be back and highly recommend :)
583,Beautiful showroom with excellent selection. Nikki was very helpful and friendly with good product knowledge. Overall an excellent experience
584,It was a smooth and fuss free experience purchasing our sofa and dining table here. Nikki was friendly and very informative!
585,Thank you Castlery. Very helpful sales support offering excellent product  knowledge.
586,"Love the store ambience, sales assistant is also very helpful and friendly. Great place to shop for modern design and affordable furniture!"
587,"Great and helpful services, reasonable prized furnitures."
588,Nice and Pleasant service. Patience and willing to offer advise how to match the furniture.
589,Great service and definitely will be going back to complete the house.
590,Warm accompany employee. Designs are nice and pricings matches quality.
591,Friendly service provided. Product is nice!
592,"Even though we took a while to decide on our purchases, Sylvia was patient and understanding. She took the initiative to explain the details of each product and even helped us look for other matching products."
593,Pleasant shopping experience with going online to narrow down what we'd like and then a visit to the showroom which has most of the items stocked in. Very helpful staff!
594,Great selection of competitively priced furniture! And a overall an awesome experience simply because of the warm welcome by the people inside the showroom.
595,Nice and huge showroom with many of its products on display. The furnitures and accessories are minimalistic in design suitable for any home design.
596,"Beautiful furniture and very good service that’s neither too pushy nor disinterested - good balance of space, product information and help."
597,service is very excellent. with one look & the assistance from the sales lady i confirmed my sofa less than 10 mins . happy with the product .
598,"Received excellent customer service at Casterly, the customer service agent was very informative. The moment I walked into the store I was greeted with professionalism and the  quality of service in helping me make my decision was …"
599,Good customer service and nice range of products
600,It was a stress free purchase at the store. We were in a hurry and Angela was very helpful and her recommendations met our requirements! We placed our order in less than 30 mins in the store. Looking forward to receive our new sofa!
601,Really enjoyed the shopping experience at Castlery. Great customer service by Sylvia. Would definitely recommend!
602,The sales team was extremely helpful in helping us select a sofa for our family living room.
603,"Came to buy a sofa set from Castlery, exactly the same one which my daughter had bought from Castlery 2 years ago! Like it so much! In addition, Alan was more than happy and patient with us to answer our queries. Will be back for more!"
604,"Good warm experience, and polite and helpful staff services. Feel confident and assured of after-sales service(hope will not be disappointed)."
605,"Good experience browsing the showroom. We were served by Nikki, she was very nice while serving us"
606,Lovely place with many type of beautiful designs. Staff is extremely helpful. Found a few items that were unique and really pretty. Would recommend to others.
607,the sofa is comfortable. the service staff is polite and knowledgeable. we are pleased with the service provided and the varieties available over in the store.
608,Staff know the information well. Items are all on display. Parking accessible across the road.
609,Nice design and resonable price.
610,Wide variety on display. Great service and friendly staff.
611,Good customers service. Staffs have good products' knowledge.
612,I like the studio showroom experience. Very comfortable to browse and try out the furniture. The customer service is also very friendly and helpful. My wife and I were able to decide on a 3 seater sofa.
613,"Friendly customer service, not pushy.
nice roomy environment to walk around"
614,"Nice showroom, furniture are interesting and practical. Good service. Bought myself 2 Ralph Armchairs. All the best."
615,Castlery sells really good quality furniture and fits the theme of our house as well!
616,Good service from Ivy here in castlery! Really helpful and friendly. The range of furniture is pretty good too. Probably find what you are looking for here in castlery.
617,Sales Rep was very helpful and assisted us in finding the right fit of sofa.We were extremely pleased with the service and quality of the sofa too. Thank you! Will come back for more
618,"nice design and good price.
friendly staff"
619,"Pleasant Experience, staff is very friendly and patient with our questions. They will try to help us to resolve whichever concerns that we have on the furniture. Will definitely find them again for our furnitures in the future."
620,The selection of discounted items is very attractive and wide for me to fill my family home with beautiful pieces.
621,Good furniture designs at affordable price
622,Good shopping experience with knowledgeable sales team and support.
623,Great customer service with good looking salespeople haha. I love the spaciousness of the showroom and overall layout - very chic and contemporary vibes.
624,"Innovative wood look with stylish finishing at affordable price.
feel like worth buying :)"
625,"Amazing experience with everyone at Castlery especially Nevil, who has been very helpful and knowledgeable in recommending pieces for my new home. Beautiful, clean lines furniture .....highly recommended!!"
626,great selection of furniture and cushions
627,The showroom is really great in providing ideas for home. The staff is also very helpful in answering queries
628,Great selection and service. Many options and customizations possible. fast delivery.
629,Sylvia was very helpful and had great recommendations.  The quality and craftsmanship of Castlery's furniture are top notch.  This is our second purchase from them and will be our first consideration in future purchases.
630,"High quality furniture, attended by pleasant sales person. Nice experience."
631,"Visited Jit Poh showroom today. Bought sofa set, dining chairs and a sideboard. Big showroom with full range of products on display. Designs are nice and modern. We were attended by Nikki who is very courteous and professional. She can give …"
632,Great selection and nice staff!
633,Looking for a bed frame for my new house and a staff gave me good advice!
634,"The staff are very friendly and helpful. The furniture are worth the price, suitable for minimal, Scandinavia and industrial style of interior design. The snug mattress is very comfortable, definitely worth the price! Will come back for more furniture!"
635,Service was prompt. It was an extremely pleasant shopping experience. Sales lady serving us gave us ample space to shop and browse at our own pace.
636,Nikki has been very helpful and patient to assist. Love the design of the furnitures.
637,Great shopping experience at Castlery with the help of Sylvia. Great quality furniture at reasonable prices. Highly recommended for those who are looking for some great furniture for your home!
638,nice showroom and they welcoming us very well. Good job to the customer service samirah. will come back!
639,Good store with all options
640,"Great Service from Sylvia.
The Hudson bed looks awesome!"
641,"Broad choice of furniture, very friendly service, would definitely recommend."
642,"We bought a new sofa for 2.7k. When washing the cushion covers, 2 of them where used and dirty. We complained and almost 2 months later they haven’t been able to replace them. They do have great design, but clearly they don’t control all the steps of their production and outsource somewhere. Watch our for the quality of the items."
643,Great and comfortable showroom! They definitely have something for everyone here.
644,Pleasant service and nice showroom! Products here are also nice designed. Love it
645,Plunged into getting yellow Doris bench during the 11.11 sale even though it is really risky with a 2 year old at home cos the mustard yellow is too pretty to resist!
646,Is a very nice experience and cosy place to shop. The staff are helpful with our questions
647,Love the customer service and din was great
648,Excellent variety of designs colours and sizes
649,Store is packed with furniture to suit many different themes. Designs are great and affordable. Customer service is top notch and Friendly. I've bought a couple of things for my home and this place is certainly in my top few choices to buy …
650,"Great service from Ivy, she was really helpful with the suggestions and delivery timeframes. The showroom at Jit Poh is comfortable and much bigger than expected."
651,"Good selection of on trend furniture with budget friendly price; wonderful customer service by Sylvia
A"
652,Nice ambience with excellent service by the staff here
653,Great staff (Sylvia) helping us through buying process! Love the store and the environment here too!!
654,"I ordered a set of Maru Dining Plates for my steak and salmon during the circuit breaker which was a stressful period for me. The plates looked elegant and were durable.

Highly recommended."
655,Nice furniture with lots of woody feel. Great customer service from staff at their physical store in Tanjong Pagar! :)
656,Contemporary Design at Affordable price range. Comfortable to sit. Good Customer Service.
657,"My experience with the customer team has been good, they are patient and understanding with my fickle mind on selecting the furniture."
658,Jacob is very friendly and helpful and Castlery has a wide variety of dining chairs and coffeetable choices that suit our needs. Highly recommended.
659,"Benson nice intro for the products, thank you"
660,Shout out to Ivy from Castlery for her attentive & good services. Furniture & design wise is great and very much fulfill our design home theme of Scandinavian/Industrial.
661,My mom & I had a pleasant experience at castlery today. Eric Chia provided us very helpful tips in our sofa selection. He was very patient and attentive to our request. We really appreciate your time and accommodating to our queries. This really made a difference. Thank you.
662,"Wide variety and up to date furnishings, suitable for any concepts n themes of your abode. Most Reasonable price!

Staff has good ideas and recommendations and surely knows their product well.

Highly recommend that you go to their showroom, talk to the staff to have a feel of what they have to offer."
663,Great service and very comfortable sofas. Incredibly wide range and great value for money furniture. Highly recommended!!!!!!!!
664,"Selling modern furniture which I find is of good value looking at the quality. The huge showroom is nicely decorated, gives a nice cosy feel. Definitely worth visiting"
665,Excellent service . Manager Samirah is helpful and knowledgeable about the products. The show rooM layout is spacious and relaxing.
666,"Got served by a salesperson named Shawmann, service was good and his recommendation suited us well! Would recommend you guys to look for him if you have any enquiries :))"
667,Served by Eric. He was good and helpful.
668,"Excellent service. Nice furnitures too.
Thanks Ivy for the help!"
669,"Beautiful ambience, excellent customer service"
670,I love this place and my new cushion
671,"Furniture selection was good. The staff at the showroom are very helpful,
they helped to match accessories to the furniture and assist with a flexible delivery date."
672,"Smooth buy, recommended"
673,The sales staff that attended to us was very attentive and helpful. His name is Eric. We are very happy to have gotten our sofa ☺
674,Love the range of quality products here. Can't wait to receive our furnitures 🤩
675,Highly recommended to shop here as the staff especially Din whom is very helpful throughout the process. Surely will come back again! 🙂
676,Great furniture and excellent staff! We always found something we love!
677,Hugh range of furniture to select from and great customer service. Very patient with our questions and provides very helpful suggestions.
678,"Had finally decide to purchase the Alfie 2 seater left and right and make it 4 four seater sofa. Staff at showroom was very helpful especially Ivy, for assisting us with the purchase. Highly recommend to consult the friendly staff to make an informed choice."
679,"Friendly costumer service, I was managed to buy the sofa set and dining table I like in just 2 hours time. Will recommend to my friends"
680,Sylvia helped us through out the choosing of our sofa and dining table. She advised us on what product to use and where to purchase the fabric protector for future use on our purchased sofa. Great and friendly service from Sylvia. Thanks!
681,The showroom was very nice and the service was good!
682,Excellent service - Din went above and beyond to assist. 👍🏼
683,"Great service and friendly people, the store space is open and relaxing. Very easy to imagine what would work well in your home."
684,Great and prompt service.
685,Found this shop online and were surprised that there are also shops to visit! Jacob did a great Job at their Jit Poh store and support us with know how and his experience! Friendly atmosphere and nice showroom with everything we first saw …
686,Castlery is definitely one of my first choice with good design and friendly staff especially Ivy who served us 👍🏻👍🏻
687,Shopping at Castlery's showroom is a great experience where the furniture displays are well put together and the staffs are very helpful. Bought a sofa here which is really comfortable and value for money.
688,Had good time looking the furniture and very nice design.
689,Nightmare started when I wanted to purchase a replacement seat cushion for the sofa I purchased with them. Initial delivery was mid Sep but suddenly received delayed notice for mid-late October. Nightmare customer service only via chats …
690,Ivy was very helpful and friendly. She helped in our design concept within our budget. Overall we are pleased with the shopping experience.
691,Awesome service! Great shopping experience! :)
692,"Visited Castlery today and it was a good experience with my wife. we love the sofa that we purchase. we were assisted by a very friendly staff, Angela. Thank you for accommodating us."
693,Good customer service and great product quality! Best in the town!
694,Big and nice showroom. Helpful and friendly customer service
695,Great customer service and lovely showroom!
696,"Good customer service, staff are friendly. I can get what I like."
697,"Clean, modern designs available in well-designed showroom!!"
698,Beautiful furniture. Helpful staff.
699,Great service from Ivy! Good experience coming into the store to browse and have a look around in a nice environment.
700,Best place to get your customisable sofas in SG!!
701,Overall a pleasant buying experience with great options for sofas and patient staff who take time to explain your options. Easy comfortable place to browse and buy furniture.
702,Lovely experience at the store. Very helpful and patience staff.
703,Great place to shop for furniture
704,Good service. Model of the furniture is very modern.
705,friendly  and patient customer service and the place was amazing
706,I visited Castlery in Jit Poh last Saturday but did not really have the time to leave a review for my email's access problem. But would like to commend that I am so impressed on how they trained their staff. Angela Nikki provided excellent …
707,"Bought online a bedside table - very nice finishes and top quality. Was hoping to be given a shorter delivery time frame though, even ex stock items require 2-3 weeks it seems."
708,"Good service and comfortable show room.
Quality products at good prices"
709,Nice showroom and great customer service.
710,Great selection and very helpful staff.
711,Great quality furniture pieces!
712,Staff is very helpful in understanding our requirement and recommending the right product for our flat. The sofa is being able to customise to fit our design and we are able to add on as it is modular.
713,Great service and great selection. Quick delivery
714,"Jacob from the outlet at Jit Poh was really friend and helpful, delivery exceptional service. Great job!"
715,High quality furniture and great customer service! Samiran is very patient in addressing all my questions. Kudos to the team!
716,Good service from the staff. Very helpful and provided us with advice and recommendation when selection of products for our new home. :)
717,Wonderful and friendly service staff. Been a great help to us for our new home!
718,Beautiful showroom. We like the design of furnitures here. Staff was friendly and provided good advice.
719,"Awesome and high quality furniture available, friendly service by Nikki!"
720,Lovely showroom with a variety of beautiful furniture ranging from sofas to dining tables. The customer service is also excellent!
721,Great showroom! Super helpful staff! Great experience overall!!!
722,Good customer service. Recommended.
723,nice studio. Angela is such very friendly and accommodating staff. got to buy a classy and comfy couch.
724,A beautiful furniture store. Love the clean and modern look to all their pieces. Very helpful staff and best of all reasonable prices. Worth a visit
725,Wonderful beautiful features to make my house gorgeous and homey ! Thank You Castlery !
726,Their service is prompt and attentive.
727,"Was served by Eric who was thorough in showing the sofas that met my requirement. He was patient, pleasant and informative."
728,Castlery has a beautiful showroom showcasing their furniture. Their customer service is great and their products are nice as well!
729,Really nice options and modern style furniture. Very affordable and highly recommend it.
730,Great amazing service from Rainuddin! Love all the products from Castlery!
731,Great place to shop for furnitures for your future home! Staff are all really friendly and helpful! Will definitely recommend to family and friends!
732,"Amazing service, quick simple! Furniture the best in SG at a good price! The place to buy furniture in SG! Easy to pay and the deliver on top!"
733,Great service. Jacob was great. We hope to be living with our Castlery sofa for many years to come.
734,Great shopping experience with trendy designs. They have a helpful team and are prompt on their online chat response!
735,Like that helpful staffs and quality of the products. Went back 2 weeks in a row to buy more stuffs for our home.
736,"After looking around, we've finally found all what we want at Castlery. The ALFIE series were perfect for the design that we're looking for. Thanks for the help of Samirah!!!"
737,We had a great shopping experience at Castlery (Jit Poh Building). Showroom is spacious with many of their furniture pieces (showcased online) being put up for display. Sales personnel were friendly and easily approachable. Retail …
738,Ivy was really friendly and helpful throughout. The cute furnitures are a bonus!
739,Nevil is very knowledgeable with his items. Enjoy his service and humor.
740,fantastic service by all staff and great free sofa cushion
741,Pleasant experience in the showroom. Attended by friendly staff and enjoyed a smooth transaction!:)
742,Very good service! Very helpful in assisting me on my purchase. Thank you!
743,It was a pleasure shopping in your store. Allison our sales assistant was patient and helpful.
744,The cool design of IKEA at higher quality/durability.
745,Nicely designed and priced furniture. Angela was friendly and provided good attention to service and information on the products.
746,Great place with a good selection of quality furniture! Friendly and helpful staff makes the shopping experience enjoyable!
747,The Castlery showroom at Jit Poh has a wide range of furniture and service is great. Good advice and purchase is a breeze!
748,Very nice store with choice of good looking high quality furnitures.The service is fast and efficient.
749,Nice service and all furnitures got nice design and quality .
750,"Poor quality and not durable. The sofa we bought didn't last even one year,  before the seats start sinking in. Now we have to buy a new one and it won't be from this shop."
751,Samirah was absolutely fantastic! Excellent service. Highly recommended.
752,Great service and friendly people. Good selection of items.
753,Great furniture design and variety!
754,Excellent service. Sales staff helped configure our packages to help us save a bit of money. Thanks!
755,The shopping experience at Castlery has been very good with friendly staff and the sofa we've bought has been exactly like what has been featured in the website.
756,Beautiful and comfortable showroom that provides a good buying experience
757,2nd purchase from Castlery. Great design and fuss free shopping. Love my new purchase alot 😊
758,"Amazing services by store manager Ivy, product qualities are great and sturdy. Highly recommended"
759,Beautiful furniture at affordable price. Love the service and professionalism by Sylvia!
760,Good overview and settings in the show room. Knowledgeable staff
761,Great place with a wide variety of furniture to choose from. Shopping here is hassle free with great customer service!
762,Seamless and wonderful experience at the store with super helpful staff who are knowledgeable.
763,Spacious and clean cut showroom with wide range of furniture.....friendly and helpful staff!
764,"The experience has been most enriching and I was not rushed to make a decision for the sofa set, dining set and others. Wonderful service I got from Anson!"
765,Served by Nikki. She is very friendly and helpful in explaining the product. Really like the bed frame and mattress.
766,"Friendly service, good selection of furniture. Nicky was amiable and helpful."
767,"Walk in customer at Castlery and was assisted by the salesperson, Din. Great service! Looking forward to our new sofa :)"
768,Very personal service. Excellent range with very reasonable prices.
769,"Castlery is a great place to shop furniture in Singapore, reasonable price and friendly staff. I did my search on their website and visited the store at Jit Poh. I was serviced by Angela who was extremely helpful to explain different product features and combination for me. Will come here again for furniture shopping."
770,visited show room served by Rainuddin. service was very good and products looked professional. highly recommended
771,great service . Well done Allan!
772,Angela Nikki was very helpful to assist us in picking and identifying our furniture and showed us various options we could mix and match.
773,good service with good knowledge staffs
774,"We visited Castlery on a Sunday afternoon and were attended to by Din who helped us select a sectional sofa, a console and a coffee table. He offered a variety of choices according to our preferences and we managed to get the ideal furniture."
775,Had a good time walking around the showroom checking out the items and the sales staff was very helpful with our queries.
776,Professional and friendly staff. Wide variety of furniture. Great experience!!
777,"great customer service, super helpful staff, delivery date chosen and looking forward to product being delivered."
778,wide range of furniture to choose from . The staff at the showroom was very helpful and friendly.
779,Anson been a great help in choosing the best sofa for house! Great selection of sofas in Castlery.
780,Came early with no crowd on weekend.. Great shopping experience.
781,"Good customer service 👍 and nice variety of furniture to choose from . Price is quite reasonable , will recommend to friends and family"
782,"Nice place, helpful staff, affordable with great selection"
783,Furniture range looks great and Nikki is very helpful and pleasant.
784,"Great range of furniture at competitive prices, staff very helpful and knowledgeable - would highly recommend!"
785,Friendly staff with good knowledge of products. Great work!
786,Good balance of value and design.
787,Pleasant visit to the castlery showroom! Found our dream sofa and happy with the service :)
788,"My visit to Castlery has been an extremely pleasant one. We were greeted with a welcoming smile by Din. Along with his expertise and experience, he was very meticulous in helping us style and design our home. Thank you for the assistance rendered to us Din! You're such a great asset to Castlery."
789,Good variety of budget Scandinavian style furniture. Spacious.
790,Really helpful staff who gave us very helpful advice and enabled us to make good decisions for our first home!
791,Picked up another great sofa at Castlery! Great value for money and service as usual
792,good store layout and very attentive (yet discreet) customer service
793,"We bought a sofa and tv console and Anson was helpful in giving insights, especially on the maintenance aspect."
794,Good selection and designs available at the Jit Poh store. Helpful staff onsite to address any questions.
795,Friendly and helpful staff on site to assist and give good advice! 👍🏻
796,"Good experience, nice environment, wait to see the goods delivered to my home and comment further."
797,Thank you Din for your wonderful customer service for matching the sofa set.
798,Helpful staff and good quality products at an adequate price! Thumbs up !
799,came shopping for sofa set and immediately spotted one that was to our liking. comfortable and great quality. price was very decent. great customer service too! highly recommended.
800,Nice experience in sourcing for an ideal dining chair.  Helpful & friendly staff
801,It is a lovely experience. The sale executive is friendly and helps in getting what we needs.
802,they have a very nice shoroom and their service is tip top.
803,Good customer service at affordable price!
804,Great Sale. Fantastic Customer service. Special mention to Din for his responsiveness and attention!
805,"Thank you Ivy for great service, and pleasent experience!"
806,Castlery showroom and furniture are great! Will recommend to visit for its ambiance and products!
807,It was a great experience. Staff was very efficient and could answer all my queries.
808,Fast and efficient. Wide and beautiful selection. No hassle.
809,Friendly staff. Not pushy. Good customer service.
810,Nice furniture and sofa. Staff is very very friendly and helpful.
811,Wide selection range & great service!
812,Ivy was very helpful and guided us through our buying process! Would recommend 👍🏼
813,Good service with friendly and knowledgeable staff. Good sofa material at best price.
814,Great customer service at Jit Poh outlet
815,"Very friendly & fuss-free service. Availability of designs, colours and configuration is immediately known with their help. 👍🏼"
816,Staff were friendly and showroom nicely laid out with a broad selection
817,Excellent customer service. Friendly staff and spacious showroom
818,Staff very friendly and attentive. purchase process very smooth and quick.
819,Ivy Diaz was very helpful and informative on the sofa that we purchased. Love the designs and variety available. Overall positive experience.
820,"Customer service is excellent as I took a long time
to decide colour and measurements. Relationship
Manager Mr Rainuddin is so professional and patience

Highly recommended furniture with good quality
at affordable prices"
821,"Fuss free experience, spacious area for us to browse at our own time."
822,Great range and fantastic service
823,Good products and services
824,Very nice showroom and excellent customer service. Products are nice!
825,"Great place, many nice selections to choose from.. Friendly and helpful staff all around.."
826,"Reasonably priced, modern yet understated furnishings. Customer service is also terrific- helpful and informative folks working here. We enjoyed our visit and ended up procuring a number of items :)"
827,"Browsing through the website and visiting the showroom was a breeze. Samirah was very helpful from the start when I first visited the showroom, follow up through emails till the second time when I visited to purchase. Looking forward to receiving the items!"
828,Excellent Design and Price for a Leather Sofa
829,"friendly and very helpful staff, explaining in details."
830,"The place is great looking and the staff were extremely helpful, and were accommodating to our requests."
831,Tasteful furnitures with affordable prices. Good service as well.
832,Excellent Vencent dining table. Great shopping experience.
833,Good service at castlery with very affordable furnitures! Samirah was very helpful and friendly and really aided us in our decision making. Highly recommend!
834,Sales staff are friendly and helpful. Pleasant experience purchasing from Castlery.
835,Showroom was spacious and products looks modern and nice. Sales associate was friendly.
836,"Lovely, large showroom with many items on display"
837,Fantastic showroom - really lets you experience the items before you buy. Very helpful staff.
838,"Castlery has a nice range of furniture, they are nice and trendy. Most of the furniture are of reasonable price as the quality is good. The staff there were also very friendly.

Rainuddin was serving us today and he was very friendly and …"
839,Great customer service and range of furniture with nice designs. Reasonable too.
840,Nice and friendly staff at jot pot Castlery! Very helpful and proactive
841,Makes me happy every time I come home. Everyone loves it too.
842,"Great location with nice environment to browse without pesky sales staff...

Strongly recommend to everyone who likes modern Scandinavia furniture & accessories ❤️❤️❤️"
843,"Good design, quality furniture and helpful service! Enjoyable experience"
844,Greatly curated!  Helpful staff and a pleasant shopping experience!
845,Buy furniture got free cushion if do review.
846,Comfortable set up with friendly and helpful service! Bought a couple of furnitures for our new place :)
847,Excellent service and amazing staff. Will definitely come back again.
848,All the furniture designs are super nice and the whole environment is very cosy and comfortable. We were attended by Ivy who is really friendly and professional. She provided us with some matching ideas and suggestions which are useful. Excellent service.
849,Great mix of choices. Good value for money.
850,Great experience and thumbs up on their customer service.
851,Good collection and reasonable prices
852,"I've purchased twice from Castlery, and it has been a satisfying experience both times. Ivy, the store manager is very knowledgeable about their products and is the reason I keep coming back and recommend them to everyone. Simple to order, good communication before delivery, reliable delivery of quality furniture and perfect condition."
853,"Delightful and attracted with all the unique beautifully designed furniture and home deco with good quality material at Castlery at a reasonably affordable price too. If you are looking for Scandinavia style, this is the place that you must go to shop for your furniture."
854,Very good service
855,"We were attended to by Eric. He was very patient, knowledgeable with the products,  and very customer-centric. Excellent service and shopping experience for us. Will definitely return again."
856,Sylvia was so accomodating and helpful with all our queries.  Furnitures are classy and of good quality.
857,Very well designed product. Staff very knowledgeable with the product
858,Fantastic group of customer service team ! Polite  and Professional !
859,Nice furnitures 👍
860,Superb service by din! Good job!
861,"Classy showroom, friendly staff. Highly recommend a visit."
862,Lovely showroom with very helpful staff.
863,Very good service. Samirah was very helpful throughout the sales process
864,We had a great experience shopping at Castlery. Rainuddin helped us configure the furniture to our needs. Eagerly awaiting for the delivery now!
865,Wife went crazy shopping at this place. Highly recommended! Thanks for assisting us.
866,Location and service good
867,Really nice showroom but you had to approach staff for help as they were all busy on computers or phones.  We only wanted to ask a simple question about the price of a pouffe only to be told that the price displayed was for a different …
868,"Very good products, very accomodating staff Din in particular.."
869,Finally I had managed to drop by the place and had a wonderful experience shopping for some great pieces for my new place. Cant wait to drop by again! :)
870,Great experience visiting the showroom. Great service and great furniture!
871,Wide range of selections for furniture (:
872,Lovely furnitures. Amazing and fast service. We bought a dining table.
873,Nice showroom and staff very helpful. Made a purchase to be delivered on my preferred date on my first visit.
874,Furniture from Castlery is well designed and relatively affordable. I highly recommend checking out one of their showrooms before purchasing online. Staff are attentive and are super helpful.
875,"Nice and modern products. Onsite search stations are really convenient. Can check availability and delivery date instantly. Most of all, sales persons are very courteous and professional. Superb."
876,sales agent Sylvia was very accommodating and professional.
877,Staff was super friendly and helpful. She is very knowledgeable in the products. Had a great shopping experience at Castlery! Would highly recommend anyone to purchase their furniture here :)
878,Wide range of furniture at affordable prices. Will definitely come back again if we do need other furnitures.
879,"Lovely showroom, good range of offerings. Friendly staff."
880,"Friendly and patient service! Really great looking products, lux-feel and rather good quality. Shout out Anson, thank you so much for your assistance!"
881,love the ambience here and the customer service is really good.
882,Great customer service! Patiently going through variable product
883,"Simply love their furniture! Awesome service and great furniture selections. I'm just spoilt for choices! Bought sofa, dining set and bed frame! Delivery was on time and entire buying process was smooth and hassle free! Highly recommended!"
884,"Great design, quality products, and service and affordable prices"
885,great service from samirah ! castlery has affordable and classy furnitures ! highly recommend :)
886,"Great customer service and good range of products. Prices are very reasonable, sort of similar to Ikea"
887,"Great customer service, with ease of navigation through the showroom."
888,Fantastic shopping experience and wide variety of modern furniture for any theme
889,"I like the showroom, its clean and very classy.  Even the staff are friendly and helpful. They will go the extra help in recommending whats best and suits us."
890,Nice showhouse and good service.
891,very good customer service from everyone i encountered the moment i step in the store
892,The location is centrally accessible.  Nice and cosy deco.  Service is tip top
893,"Nice furniture, perfectly suited for small singapore homes with modern interiors."
894,The ambience of this shop is very welcoming and the sales assistants here are very helpful in assisting us.
895,"I had a wonderful experience in the showroom, the staff was friendly and fortcoming."
896,We had visit Castlery for a few times. The colour scheme and furniture are beautiful and match well for our new home. Looking forward for our furniture to be delivery. Lovely place to look out for furniture. Thumb up !!!
897,Staffs are super nice and the furnitures also great quality with reasonable price :)
898,"good range, reasonable price and helpful staff"
899,Excellent service and explanations. Very helpful
900,"Came to Castlery looking for a Sofa, coffee table and TV console.
Samira was really helpful in answering my queries and recommending furniture based on my requirements. The furniture here are really high quality as well. Thanks again!"
901,Sales Person is very helpful and friendly. The Sofa we are getting is value for money. Thumbs up!
902,Staff were friendly and knowledgeable about the products. Good quality products at reasonable prices.
903,Came by to shop furniture for my new home. Was amazed by the fantastic service provided by Eric. Many thanks for the great service and will be back! Thank you. You made our shopping experience fun and enjoyable!
904,"nice modern designs, very good quality and attractive price."
905,Staff is friendly and helpful!! Will recommend;)
906,"A cozy place with the friendliest and staff -Nikki and Din.
Clean line and comfortable with a reasonable price tag.
Conveniently located.
Excellent service !"
907,"Service was friendly and very helpful, enjoyed my shopping experience thoroughly! Bought a sofa, ottoman, and TV console."
908,"Good quality, very friendly introduction, good service. Big show room"
909,"Friendly staff and good knowledge of product.
Full range of product available on display."
910,This is a really nice place and the service is greatʕ •ᴥ•ʔ
911,"Nice place to look for furniture, many pretty girls!"
912,"Excellent customer service by Ms Ivy, good range of furniture with affordable price! :)"
913,Excellent service!
914,"friendly staff, cozy atmosphere and practical price"
915,Awesome furniture!
916,"Ordered my dining table online and Rainuddin was very helpful, answering all my questions without any delay. Great customer service!"
917,Awesome service. Nice ambience.
918,Superb services rendered by both Nikki and Ivy. Quality products. Glad to catch them at the sale period. Awesome stuff
919,"Great shopping experience, knowledgeable staff and nice environment. Need to wait some time for stock to be replenished though."
920,Very good customer service!! Highly recommended!!!
921,Thanks for the good customer services by the staff and also the lovely product
922,Great location with friendly staff
923,"Great experience with the staff, good range of products."
924,They only have design. Quality is poor. We bought a sofa for 1.6k. It lasts hardly a year. The cushions deflated and the lining under the seats torn and hanging.
